name,domain,website,contact_email,jurisdiction
01Advertising Inc.,01advertising.com,https://www.01advertising.com,privacy@01advertising.com,CA
33 Mile Radius LLC,33mileradius.com,www.33mileradius.com,operations@ignitevisibility.com,CA
"33Across, Inc.",33across.com,www.33across.com,privacy@33across.com,CA
"5x5 US, LLC",5x5data.com,https://5x5data.com,contact@join5x5.com,CA
"6sense Insights, Inc.",6sense.com,https://6sense.com,privacy@6sense.com,CA
"Accudata Integrated Marketing, LLC",acculeads.com,https://www.acculeads.com; https://deepsync.com,legal@deepsync.com,CA
Accurate Append Inc.,accurateappend.com,www.accurateappend.com,shawn@accurateappend.com,CA
"ACH, Address Clearing House",achcoop.com,achcoop.com,privacy@achcoop.com,CA
Acronymix LLC,acronymix.com,acronymix.com,privacy@acronymix.com,CA
Acxiom LLC,acxiom.com,www.acxiom.com,askprivacy@acxiom.com,CA
"AdeptID, Inc.",adept-id.com,www.adept-id.com,privacy@adept-id.com,CA
adsquare GmbH,adsquare.com,www.adsquare.com,privacy@adsquare.com,CA
Adstra LLC,adstradata.com,www.adstradata.com,privacy.officer@adstradata.com,CA
"AdsWizz, Inc.",adswizz.com,www.adswizz.com,privacy@adswizz.com,CA
Affinity Answers Corporation,affinityanswers.com,affinityanswers.com,dataprivacy@affinityanswers.com,CA
Affinity Solutions Inc.,affinity.solutions,https://www.affinity.solutions,privacy@affinitysolutions.com,CA
AggKnowledge Inc.,aggknowledge.ai,aggknowledge.ai,privacy@aggknowledge.ai,CA
"Agile Education Marketing, LLC",agile-ed.com,agile-ed.com,personal_data_opt_out@agile-ed.com,CA
AGR Marketing Solutions LLC,agrmarketingsolutions.com,www.agrmarketingsolutions.com,stephen@agrmarketingsolutions.com,CA
"Aidentified, Inc.",aidentified.com,https://www.aidentified.com,privacy@aidentified.com,CA
Airlines Reporting Corporation,arccorp.com,arccorp.com,legalteam@arccorp.com,CA
Alliant Cooperative Data Solutions LLC,alliantinsight.com,alliantinsight.com,compliance@alliantdata.com,CA
Alphonso Inc.,alphonso.tv,https://alphonso.tv,tom.cushing@lgads.tv,CA
"Altair Data Resources, Inc",altairdata.com,https://www.altairdata.com,dpelland@altairci.com,CA
"Altrata, Inc.",altrata.com,www.altrata.com,legal@altrata.com,CA
AnalyticsIQ Inc,analytics-iq.com,analytics-iq.com,privacy@analyticsiq.com,CA
Anchor Computer Inc.,anchorcomputer.com,http://www.anchorcomputer.com,hkhan@anchorcomputer.com,CA
"App Science, Inc",appscience.ai,https://www.appscience.ai,privacy@appscience.inc,CA
AppLovin Corporation,applovin.com,www.applovin.com,datarequests@applovin.com,CA
"Aristotle International, Inc.",aristotle.com,www.aristotle.com,dpo@aristotle.com,CA
ASL Marketing,deepsync.com,https://deepsync.com,legal@deepsync.com,CA
"Asset International, Inc.",issmarketintelligence.com,https://www.issmarketintelligence.com,dataprotectionofficer@iss-stoxx.com,CA
"AtData, LLC",atdata.com,https://atdata.com,privacy_support@atdata.com,CA
Attribits,attribits.com,attribits.com,compliance@allgoodmediagroup.com,CA
"Austin Consolidated Holdings, Inc.",equifax.com,https://www.equifax.com,usprivacy@equifax.com,CA
"Autodata Solutions, Inc.",jdpower.com,https://www.jdpower.com,jdpowerprivacy@jdpa.com,CA
"AutoWeb, Inc.",autoweb.com,www.autoweb.com,AutoLegal@autoweb.com,CA
"AWL Holdings, LLC",allwebleads.com,allwebleads.com; insurancequotes.com; Usinsuranceonline.com; affordable-home-insurance.org; discount-car-insurance-rates.com; general-liability-insurance-rates.com; affordable-health-insurance-plans.org; affordable-life-insurance-rates.org,onlineops@awl.com,CA
Azerion US Inc.,azerion.com,https://azerion.com,dpo_hybridtheory@azerion.com,CA
"Babel Street, Inc.",babelstreet.com,https://www.babelstreet.com,privacy@babelstreet.com,CA
"Baron App, Inc.",candl.app,candl.app; cameo.com,safety@cameo.com,CA
"BDEX, LLC",bdex.com,www.bdex.com,privacy@bdex.com,CA
"BDO GCI, LLC",bdo.com,https://www.bdo.com,privacy@bdo-gci.com,CA
"BECAUSAL, INC.",becausal.com,https://www.becausal.com,privacy@becausal.com,CA
"BeenVerified, LLC and its subsidiaries and affiliates",beenverified.com,https://www.beenverified.com; https://www.peoplelooker.com; https://www.numberguru.com; https://www.ownerly.com; https://www.neighborwho.com; https://www.peoplesmart.com; https://www.bumper.com; https://www.freephonetracer.com; https://www.emailfinder.com; https://www.moneybot5000.com; https://www.reversephone.com; https://www.wingmate.com; https://www.famfinder.com,privacy@ltvco.com,CA
Beeswax,beeswax.com,https://www.beeswax.com,privacy@beeswax.com,CA
"Belardi Ostroy, ALC, LLC",belardiwong.com,belardiwong.com,privacy.officer@belardiwong.com,CA
"Best Pick Reports, LLC",bestpickreports.com,www.bestpickreports.com,operations@ignitevisibility.com,CA
Biscred,biscred.com,biscred.com,privacy@biscred.com,CA
Black Pearl Group Limited,blackpearl.com,https://blackpearl.com,richard.doone@blackpearl.com,CA
"Blackbaud, Inc",blackbaud.com,https://www.blackbaud.com,privacy@blackbaud.com,CA
Blis Global Ltd,blis.com,https://www.blis.com,privacy@blis.com,CA
Blue Action Inc.,blueaction.io,blueaction.io,info@blueaction.io,CA
Blueprint Audiences,blueprintaudiences.com,https://blueprintaudiences.com,privacy@blueprintaudiences.com,CA
"Bombora, Inc.",bombora.com,www.Bombora.com,legal@bombora.com,CA
"Bridg, a division of Cardlytics, Inc.",bridg.com,www.bridg.com,legalnotices@cardlytics.com,CA
"Brooks Integrated Marketing, LLC",brooksim.com,www.brooksim.com,privacy@brooksim.com,CA
"Buildertrend Solutions, Inc.",buildertrend.com,https://buildertrend.com; https://toolbeltdata.com,legal@buildertrend.com,CA
Bushwick Growbots LLC,growbots.com,growbots.com,operations@growbots.com,CA
"Buxton Company, LLC",buxtonco.com,www.buxtonco.com,consumerprivacy@buxtonco.com,CA
Buyerlink Inc.,buyerlink.co,www.buyerlink.co,legal@buyerlink.com,CA
BV Insights LLC,big-village.com,www.big-village.com,jp.sardi@brightmountainmedia.com,CA
Cadent LLC,cadent.tv,www.cadent.tv,privacy@Cadent.tv,CA
Captify Technologies,captifytechnologies.com,captifytechnologies.com,legal-captify@verve.com,CA
Captiv8 Inc.,captiv8.io,captiv8.io,privacy@captiv8.io,CA
Catalist LLC,catalist.us,http://catalist.us,privacy@catalist.us,CA
"CHECKPEOPLE, LLC",checkpeople.com,checkpeople.com,compliance@checkpeople.com,CA
Choreograph LLC,choreograph.com,https://www.choreograph.com,datagovernance@choreograph.com,CA
"Circana, LLC",circana.com,https://www.circana.com,privacy@circana.com,CA
"Civis Analytics, Inc.",civisanalytics.com,www.civisanalytics.com,dataprotectionmail@civisanalytics.com,CA
"Clay Labs, Inc.",clay.com,clay.com,privacy@clay.com,CA
"Clearview AI, Inc.",clearview.ai,https://www.clearview.ai,privacy-requests@clearview.ai,CA
"Coast Technology, LLC",coasttechnology.com,www.coasttechnology.com,info@dealershiptoolkit.com,CA
"Collective Data Solutions, LLC",collectivedata.io,collectivedata.io,legal@collectivedata.io,CA
"Commerce Signals, Inc.",commercesignals.com,www.commercesignals.com,info@commercesignals.com,CA
"Complete Medical Lists, Inc.",completemedicallists.com,completemedicallists.com,tburnell@completemedicallists.com,CA
Connatix Native Exchange Inc.,jwx.com,www.jwx.com,privacy@connatix.com,CA
"Connected Investors, LLC",connectedinvestors.com,www.connectedinvestors.com,dataprivacy@connectedinvestors.com,CA
ContactOut Limited,contactout.com,https://contactout.com,albert@contactout.io,CA
Converge Marketing LLC,convergemarketing.com,https://www.convergemarketing.com,privacy@convergemarketing.com,CA
Convex Labs LLC,convex.com,www.convex.com,support@convexlabs.io,CA
"CoStar Realty Information, Inc.",costar.com,www.costar.com,globalprivacyinbox@costar.com,CA
"Cox Automotive, Inc.",coxautoinc.com,www.coxautoinc.com; www.autotrader.com; www.fordblueadvantage.com; www.kbb.com,consumer-privacy-ops@coxautoinc.com,CA
Crisil Irvena US LLC,greenwich.com,www.greenwich.com,Privacy1@Crisil.com,CA
Criteo Corp.,criteo.com,https://www.criteo.com,dpo@criteo.com,CA
"Cross Pixel Media, Inc.",crosspixel.net,crosspixel.net,privacy@rbarrel.com,CA
CTAM LeadShare Corp.,smartmove.us,www.smartmove.us,compliance@ctam.com,CA
"Cuebiq Group, LLC",cuebiq.com,www.cuebiq.com,legal@cuebiq.com,CA
Cybba Inc.,cybba.com,https://cybba.com,privacy@cybba.com,CA
"DataDelivers, LLC",datadelivers.com,datadelivers.com,privacy@datadelivers.com,CA
"Datafy, LLC",datafy.com,https://datafy.com,opt-out@datafy.com,CA
"Dataline, Inc.",datalinedata.com,www.datalinedata.com,privacy.officer@datalinedata.com,CA
"Datalink Services, Inc",transunion.com,www.transunion.com,privacy@transunion.com,CA
Datonics LLC,datonics.com,https://www.datonics.com,accounting@datonics.com,CA
